Family,Scientific name,Common name,Population size (mature individuals),Population size derivation,Current population trend,Current population trend derivation
Honeyeaters,Caligavis obscura,Obscure Honeyeater,Unknown,not applicable,Decreasing,inferred
Parrots,Eclectus infectus,Oceanic Eclectus,Unknown,,,not applicable
Typical Antbirds,Phaenostictus mcleannani,Ocellated Antbird,Unknown,not applicable,Decreasing,suspected
"Rails, Gallinules, Coots",Micropygia schomburgkii,Ocellated Crake,50000-499999,estimated,Decreasing,suspected
Woodpeckers,Picumnus dorbignyanus,Ocellated Piculet,Unknown,not applicable,Decreasing,suspected
Nightjars,Nyctiphrynus ocellatus,Ocellated Poorwill,500000-4999999,estimated,Decreasing,suspected
New World quails,Cyrtonyx ocellatus,Ocellated Quail,1500-7000,estimated,Decreasing,inferred
Tapaculos,Acropternis orthonyx,Ocellated Tapaculo,Unknown,not applicable,Stable,suspected
Mockingbirds and thrashers,Toxostoma ocellatum,Ocellated Thrasher,20000-49999,estimated,Decreasing,suspected
"Pheasants, Partridges, Turkeys, Grouse",Meleagris ocellata,Ocellated Turkey,20000-49999,estimated,Decreasing,inferred
Ovenbirds,Xiphorhynchus ocellatus,Ocellated Woodcreeper,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Attila torridus,Ochraceous Attila,5000-15000,inferred,Decreasing,inferred
Bulbuls,Alophoixus ochraceus,Ochraceous Bulbul,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Contopus ochraceus,Ochraceous Pewee,20000-49999,suspected,Stable,suspected
Woodpeckers,Picumnus limae,Ochraceous Piculet,600000-700000,suspected,Stable,suspected
Wrens,Troglodytes ochraceus,Ochraceous Wren,50000-499999,suspected,Stable,suspected
Tyrant-flycatchers,Nephelomyias ochraceiventris,Ochraceous-breasted Flycatcher,Unknown,not applicable,Decreasing,suspected
Woodpeckers,Celeus ochraceus,Ochre-backed Woodpecker,Unknown,not applicable,Decreasing,suspected
Typical Owls,Ninox ochracea,Ochre-bellied Boobook,10000-19999,suspected,Decreasing,suspected
"Pigeons, Doves",Leptotila ochraceiventris,Ochre-bellied Dove,2500-9999,estimated,Decreasing,suspected
Tyrant-flycatchers,Mionectes oleagineus,Ochre-bellied Flycatcher,5000000-50000000,estimated,Decreasing,suspected
Antpittas,Grallaricula flavirostris,Ochre-breasted Antpitta,Unknown,not applicable,Decreasing,suspected
New World sparrows,Atlapetes semirufus,Ochre-breasted Brushfinch,Unknown,not applicable,Decreasing,suspected
Ovenbirds,Anabacerthia lichtensteini,Ochre-breasted Foliage-gleaner,Unknown,not applicable,Decreasing,suspected
Pipits and Wagtails,Anthus nattereri,Ochre-breasted Pipit,Unknown,not applicable,Decreasing,inferred
Cardinals,Habia stolzmanni,Ochre-breasted Tanager,Unknown,not applicable,Stable,suspected
Ovenbirds,Asthenes coryi,Ochre-browed Thistletail,Unknown,not applicable,Stable,suspected
Ovenbirds,Synallaxis scutata,Ochre-cheeked Spinetail,Unknown,not applicable,Decreasing,inferred
Monarch-flycatchers,Arses insularis,Ochre-collared Monarch,Unknown,not applicable,Decreasing,suspected
Woodpeckers,Picumnus temminckii,Ochre-collared Piculet,Unknown,not applicable,Decreasing,not applicable
Tyrant-flycatchers,Poecilotriccus plumbeiceps,Ochre-faced Tody-flycatcher,Unknown,not applicable,Decreasing,suspected
Tapaculos,Eugralla paradoxa,Ochre-flanked Tapaculo,Unknown,not applicable,Decreasing,inferred
Antpittas,Grallaricula ochraceifrons,Ochre-fronted Antpitta,1000-2499,suspected,Decreasing,suspected
Tyrant-flycatchers,Tolmomyias flaviventris,Ochre-lored Flatbill,Unknown,not applicable,Stable,suspected
Parrots,Pyrrhura cruentata,Ochre-marked Parakeet,2500-9999,estimated,Decreasing,suspected
Tyrant-flycatchers,Muscisaxicola flavinucha,Ochre-naped Ground-tyrant,Unknown,not applicable,Stable,suspected
Typical Antbirds,Drymophila ochropyga,Ochre-rumped Antbird,Unknown,not applicable,Decreasing,inferred
Old World Buntings,Emberiza yessoensis,Ochre-rumped Bunting,6000-15000,suspected,Decreasing,suspected
Antpittas,Grallaria dignissima,Ochre-striped Antpitta,Unknown,not applicable,Decreasing,suspected
Ovenbirds,Automolus ochrolaemus,Ochre-throated Foliage-gleaner,Unknown,not applicable,Stable,suspected
Trumpeters,Psophia ochroptera,Ochre-winged Trumpeter,Unknown,not applicable,Decreasing,suspected
Monarch-flycatchers,Mayrornis versicolor,Ogea Monarch,1300-2000,estimated,Stable,suspected
Oilbird,Steatornis caripensis,Oilbird,20000-49999,suspected,Stable,suspected
Kiwis,Apteryx rowi,Okarito Kiwi,350-400,estimated,Increasing,estimated
"Rails, Gallinules, Coots",Hypotaenidia okinawae,Okinawa Rail,480,estimated,Decreasing,estimated
Old World Flycatchers and Chats,Larvivora namiyei,Okinawa Robin,6000-15000,estimated,Decreasing,suspected
Woodpeckers,Dendrocopos noguchii,Okinawa Woodpecker,"75-400, 100-300",estimated,Stable,suspected
Tanagers,Sphenopsis frontalis,Oleaginous Hemispingus,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Elaenia mesoleuca,Olivaceous Elaenia,Unknown,not applicable,Decreasing,inferred
Old World Flycatchers and Chats,Fraseria olivascens,Olivaceous Flycatcher,Unknown,not applicable,Decreasing,suspected
Vireos,Hylophilus olivaceus,Olivaceous Greenlet,50000-99999,inferred,Stable,suspected
Tityras and allies,Schiffornis olivacea,Olivaceous Mourner,Unknown,,Decreasing,suspected
Woodpeckers,Picumnus olivaceus,Olivaceous Piculet,500000-4999999,estimated,Decreasing,suspected
Cotingas,Snowornis cryptolophus,Olivaceous Piha,Unknown,not applicable,Decreasing,suspected
Finches,Spinus olivaceus,Olivaceous Siskin,Unknown,not applicable,Decreasing,suspected
Hummingbirds,Chalcostigma olivaceum,Olivaceous Thornbill,Unknown,not applicable,Stable,suspected
Bee-eaters,Merops superciliosus,Olive Bee-eater,Unknown,not applicable,Stable,suspected
Bulbuls,Iole viridescens,Olive Bulbul,Unknown,not applicable,Decreasing,suspected
Bush-shrikes,Chlorophoneus olivaceus,Olive Bushshrike,Unknown,not applicable,Decreasing,suspected
New World sparrows,Arremon castaneiceps,Olive Finch,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Mitrephanes olivaceus,Olive Flycatcher,Unknown,not applicable,Decreasing,suspected
Australasian robins,Kempiella flavovirescens,Olive Flyrobin,Unknown,not applicable,Decreasing,suspected
Honeyeaters,Lichmera argentauris,Olive Honeyeater,Unknown,not applicable,Unknown,not applicable
"Ibises, Spoonbills",Bostrychia olivacea,Olive Ibis,3000-45000,estimated,Decreasing,suspected
Cuckoos,Cercococcyx olivinus,Olive Long-tailed Cuckoo,Unknown,not applicable,Decreasing,suspected
Manakins,Xenopipo uniformis,Olive Manakin,Unknown,not applicable,Decreasing,suspected
New World blackbirds,Psarocolius bifasciatus,Olive Oropendola,Unknown,not applicable,Decreasing,suspected
New World sparrows,Arremonops rufivirgatus,Olive Sparrow,4800000,inferred,Stable,suspected
Ovenbirds,Cranioleuca obsoleta,Olive Spinetail,Unknown,not applicable,Decreasing,suspected
Honeyeaters,Timeliopsis fulvigula,Olive Straightbill,Unknown,not applicable,Stable,suspected
Sunbirds,Cyanomitra olivacea,Olive Sunbird,Unknown,not applicable,Stable,suspected
Thrushes,Turdus olivaceus,Olive Thrush,Unknown,,Unknown,not applicable
Olive Warbler,Peucedramus taeniatus,Olive Warbler,1900000,estimated,Decreasing,suspected
Whistlers,Pachycephala olivacea,Olive Whistler,Unknown,not applicable,Decreasing,suspected
Woodpeckers,Dendropicos griseocephalus,Olive Woodpecker,Unknown,not applicable,Decreasing,suspected
Finches,Euphonia gouldi,Olive-backed Euphonia,50000-499999,estimated,Decreasing,inferred
Flowerpeckers,Prionochilus olivaceus,Olive-backed Flowerpecker,Unknown,not applicable,Decreasing,suspected
Ovenbirds,Automolus infuscatus,Olive-backed Foliage-gleaner,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Stiphrornis pyrrholaemus,Olive-backed Forest-robin,10000-19999,estimated,Decreasing,suspected
Old World Orioles,Oriolus sagittatus,Olive-backed Oriole,Unknown,not applicable,Decreasing,inferred
Pipits and Wagtails,Anthus hodgsoni,Olive-backed Pipit,Unknown,not applicable,Stable,suspected
"Pigeons, Doves",Leptotrygon veraguensis,Olive-backed Quail-Dove,20000-49999,suspected,Decreasing,suspected
Sunbirds,Cinnyris jugularis,Olive-backed Sunbird,Unknown,not applicable,Stable,suspected
Cisticolas and allies,Orthotomus sepium,Olive-backed Tailorbird,Unknown,not applicable,Decreasing,suspected
Mitrospingid tanagers,Mitrospingus oleagineus,Olive-backed Tanager,Unknown,not applicable,Decreasing,suspected
Ovenbirds,Xiphorhynchus triangularis,Olive-backed Woodcreeper,Unknown,not applicable,Decreasing,inferred
Woodpeckers,Chloropicoides rafflesii,Olive-backed Woodpecker,Unknown,not applicable,Decreasing,inferred
Sunbirds,Cinnyris chloropygius,Olive-bellied Sunbird,Unknown,not applicable,Decreasing,suspected
Cuckoos,Coua olivaceiceps,Olive-capped Coua,Unknown,not applicable,Stable,suspected
Flowerpeckers,Dicaeum nigrilore,Olive-capped Flowerpecker,Unknown,not applicable,Decreasing,suspected
New World warblers,Setophaga pityophila,Olive-capped Warbler,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Myiophobus cryptoxanthus,Olive-chested Flycatcher,Unknown,not applicable,Increasing,suspected
Crescentchests,Melanopareia maximiliani,Olive-crowned Crescentchest,Unknown,not applicable,Stable,suspected
Flowerpeckers,Dicaeum pectorale,Olive-crowned Flowerpecker,Unknown,not applicable,Decreasing,suspected
Vireos,Tunchiornis luteifrons,Olive-crowned Greenlet,Unknown,not applicable,Decreasing,suspected
New World warblers,Geothlypis semiflava,Olive-crowned Yellowthroat,Unknown,not applicable,Increasing,suspected
Tyrant-flycatchers,Tolmomyias viridiceps,Olive-faced Flatbill,Unknown,not applicable,Stable,suspected
Old World Flycatchers and Chats,Dessonornis anomalus,Olive-flanked Robin-chat,Unknown,not applicable,Decreasing,inferred
Cisticolas and allies,Camaroptera chloronota,Olive-green Camaroptera,Unknown,not applicable,Unknown,
Mitrospingid tanagers,Orthogonys chloricterus,Olive-green Tanager,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Phylloscartes virescens,Olive-green Tyrannulet,Unknown,not applicable,Decreasing,suspected
Tanagers,Saltator olivascens,Olive-grey Saltator,Unknown,not applicable,Stable,suspected
Bulbuls,Arizelocichla striifacies,Olive-headed Bulbul,Unknown,,Decreasing,suspected
Parrots,Trichoglossus euteles,Olive-headed Lorikeet,Unknown,not applicable,Stable,suspected
Weavers,Ploceus olivaceiceps,Olive-headed Weaver,Unknown,inferred,Decreasing,suspected
Weavers,Ploceus brachypterus,Olive-naped Weaver,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Contopus cooperi,Olive-sided Flycatcher,Unknown,estimated,Decreasing,estimated
Hummingbirds,Talaphorus chlorocercus,Olive-spotted Hummingbird,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Mionectes olivaceus,Olive-streaked Flycatcher,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Mionectes galbinus,Olive-striped Flycatcher,Unknown,not applicable,Decreasing,suspected
Reed-warblers,Hippolais olivetorum,Olive-tree Warbler,23900-53000,estimated,Decreasing,suspected
Bulbuls,Pycnonotus plumosus,Olive-winged Bulbul,Unknown,not applicable,Stable,suspected
Trumpeters,Psophia dextralis,Olive-winged Trumpeter,Unknown,not applicable,Decreasing,inferred
Thrushes,Myadestes lanaiensis,Olomao,0-49,suspected,Unknown,not applicable
Ovenbirds,Cinclodes olrogi,Olrog's Cinclodes,Unknown,not applicable,Decreasing,suspected
"Gulls, Terns, Skimmers",Larus atlanticus,Olrog's Gull,9800-15600,estimated,Stable,suspected
Typical Owls,Strix butleri,Omani Owl,Unknown,,Stable,inferred
Thrushes,Myadestes obscurus,Omao,110000,estimated,Unknown,not applicable
Tityras and allies,Pachyramphus homochrous,One-colored Becard,50000-499999,suspected,Decreasing,suspected
Manakins,Lepidothrix iris,Opal-crowned Manakin,250000 - 1500000,suspected,Decreasing,inferred
Tanagers,Tangara callophrys,Opal-crowned Tanager,Unknown,not applicable,Decreasing,suspected
Tanagers,Tangara velia,Opal-rumped Tanager,Unknown,not applicable,Decreasing,suspected
Finches,Pyrrhula aurantiaca,Orange Bullfinch,Unknown,not applicable,Stable,suspected
Honeyeaters,Epthianura aurifrons,Orange Chat,Unknown,not applicable,Stable,suspected
"Pigeons, Doves",Chrysoena victor,Orange Dove,Unknown,not applicable,Stable,suspected
Thrushes,Geokichla gurneyi,Orange Ground-thrush,Unknown,not applicable,Decreasing,suspected
New World blackbirds,Icterus auratus,Orange Oriole,20000-49999,estimated,Decreasing,suspected
"Pheasants, Partridges, Turkeys, Grouse",Scleroptila gutturalis,Orange River Francolin,Unknown,not applicable,Stable,suspected
White-eyes and Yuhinas,Zosterops pallidus,Orange River White-eye,Unknown,not applicable,Unknown,not applicable
Weavers,Ploceus aurantius,Orange Weaver,Unknown,not applicable,Stable,suspected
New World blackbirds,Icterus croconotus,Orange-backed Troupial,Unknown,not applicable,Decreasing,suspected
Woodpeckers,Chrysocolaptes validus,Orange-backed Woodpecker,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Nephelomyias lintoni,Orange-banded Flycatcher,Unknown,not applicable,Stable,suspected
Thrushes,Geokichla peronii,Orange-banded Thrush,Unknown,not applicable,Decreasing,suspected
Typical Antbirds,Terenura sicki,Orange-bellied Antwren,50-249,estimated,Decreasing,inferred
Finches,Euphonia xanthogaster,Orange-bellied Euphonia,5000000-49999999,estimated,Decreasing,suspected
Flowerpeckers,Dicaeum trigonostigma,Orange-bellied Flowerpecker,Unknown,not applicable,Decreasing,suspected
"Pigeons, Doves",Ptilinopus iozonus,Orange-bellied Fruit-dove,Unknown,not applicable,Decreasing,suspected
Leafbirds,Chloropsis hardwickii,Orange-bellied Leafbird,Unknown,not applicable,Decreasing,suspected
Manakins,Lepidothrix suavissima,Orange-bellied Manakin,Unknown,not applicable,Stable,suspected
Parrots,Neophema chrysogaster,Orange-bellied Parrot,20-25,observed,Decreasing,estimated
Laughingthrushes and allies,Argya rufescens,Orange-billed Babbler,Unknown,not applicable,Decreasing,suspected
Parrots,Neopsittacus pullicauda,Orange-billed Lorikeet,Unknown,not applicable,Decreasing,suspected
Thrushes,Catharus aurantiirostris,Orange-billed Nightingale-thrush,500000-4999999,suspected,Decreasing,suspected
New World sparrows,Arremon aurantiirostris,Orange-billed Sparrow,50000-499999,estimated,Decreasing,suspected
Cardinals,Passerina leclancherii,Orange-breasted Bunting,50000-499999,estimated,Decreasing,suspected
Bush-shrikes,Chlorophoneus sulfureopectus,Orange-breasted Bushshrike,Unknown,not applicable,Stable,suspected
"Falcons, Caracaras",Falco deiroleucus,Orange-breasted Falcon,Unknown,estimated,Decreasing,suspected
Old World Flycatchers and Chats,Stiphrornis erythrothorax,Orange-breasted Forest-robin,Unknown,not applicable,Decreasing,suspected
Cotingas,Pipreola jucunda,Orange-breasted Fruiteater,Unknown,not applicable,Decreasing,inferred
"Pigeons, Doves",Treron bicinctus,Orange-breasted Green-pigeon,Unknown,not applicable,Decreasing,suspected
Laughingthrushes and allies,Garrulax annamensis,Orange-breasted Laughingthrush,Unknown,not applicable,Decreasing,inferred
Sunbirds,Anthobaphes violacea,Orange-breasted Sunbird,Unknown,not applicable,Decreasing,suspected
Ovenbirds,Phacellodomus ferrugineigula,Orange-breasted Thornbird,Unknown,not applicable,Stable,suspected
Trogons,Harpactes oreskios,Orange-breasted Trogon,Unknown,not applicable,Decreasing,inferred
Tanagers,Kleinothraupis calophrys,Orange-browed Hemispingus,Unknown,not applicable,Decreasing,suspected
Honeyeaters,Oreornis chrysogenys,Orange-cheeked Honeyeater,Unknown,not applicable,Stable,suspected
Parrots,Pyrilia barrabandi,Orange-cheeked Parrot,Unknown,not applicable,Decreasing,suspected
Waxbills,Estrilda melpoda,Orange-cheeked Waxbill,Unknown,not applicable,Stable,suspected
Parrots,Brotogeris jugularis,Orange-chinned Parakeet,500000-4999999,suspected,Decreasing,suspected
Manakins,Manacus aurantiacus,Orange-collared Manakin,50000-499999,suspected,Decreasing,suspected
Tyrant-flycatchers,Myiophobus phoenicomitra,Orange-crested Flycatcher,Unknown,not applicable,Decreasing,inferred
Manakins,Heterocercus aurantiivertex,Orange-crested Manakin,Unknown,not applicable,Decreasing,suspected
Finches,Euphonia saturata,Orange-crowned Euphonia,Unknown,not applicable,Stable,suspected
Fairy-wrens,Clytomyias insignis,Orange-crowned Fairywren,Unknown,not applicable,Decreasing,suspected
New World blackbirds,Icterus auricapillus,Orange-crowned Oriole,50000-499999,estimated,Stable,suspected
New World warblers,Leiothlypis celata,Orange-crowned Warbler,82000000,estimated,Decreasing,estimated
Tanagers,Chlorochrysa calliparaea,Orange-eared Tanager,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Tolmomyias traylori,Orange-eyed Flatbill,Unknown,not applicable,Decreasing,suspected
Ovenbirds,Phacellodomus erythrophthalmus,Orange-eyed Thornbird,Unknown,,Decreasing,inferred
Old World Flycatchers and Chats,Tarsiger cyanurus,Orange-flanked Bush-robin,Unknown,not applicable,Stable,suspected
Megapodes,Megapodius reinwardt,Orange-footed Scrubfowl,100000-1000000,estimated,Decreasing,suspected
New World Barbets,Capito squamatus,Orange-fronted Barbet,37000-63000,inferred,Decreasing,suspected
"Pigeons, Doves",Ptilinopus aurantiifrons,Orange-fronted Fruit-dove,Unknown,not applicable,Decreasing,suspected
Parrots,Loriculus aurantiifrons,Orange-fronted Hanging-parrot,Unknown,not applicable,Decreasing,suspected
Parrots,Eupsittula canicularis,Orange-fronted Parakeet,500000-4999999,estimated,Decreasing,inferred
Ovenbirds,Metopothrix aurantiaca,Orange-fronted Plushcrown,Unknown,not applicable,Stable,suspected
Tanagers,Sicalis columbiana,Orange-fronted Yellow-finch,Unknown,not applicable,Stable,suspected
Tanagers,Thlypopsis sordida,Orange-headed Tanager,Unknown,not applicable,Decreasing,suspected
Thrushes,Geokichla citrina,Orange-headed Thrush,Unknown,not applicable,Decreasing,suspected
Sunbirds,Leptocoma juliae,Orange-lined Sunbird,Unknown,not applicable,Decreasing,suspected
"Pheasants, Partridges, Turkeys, Grouse",Arborophila davidi,Orange-necked Partridge,2500-9999,suspected,Decreasing,inferred
Tanagers,Euneornis campestris,Orangequit,Unknown,not applicable,Stable,suspected
Bulbuls,Pycnonotus bimaculatus,Orange-spotted Bulbul,Unknown,not applicable,Decreasing,inferred
New World sparrows,Chlorospingus hypophaeus,Orange-throated Chlorospingus,Unknown,not applicable,Stable,suspected
Hummingbirds,Heliangelus mavors,Orange-throated Sunangel,Unknown,not applicable,Decreasing,suspected
Tanagers,Wetmorethraupis sterrhopteron,Orange-throated Tanager,2500-9999,suspected,Decreasing,suspected
Sunbirds,Arachnothera flammifera,Orange-tufted Spiderhunter,Unknown,not applicable,Stable,suspected
Sunbirds,Cinnyris bouvieri,Orange-tufted Sunbird,Unknown,not applicable,Stable,suspected
Parrots,Amazona amazonica,Orange-winged Amazon,Unknown,not applicable,Decreasing,suspected
Waxbills,Pytilia afra,Orange-winged Pytilia,Unknown,not applicable,Stable,suspected
New World blackbirds,Icterus spurius,Orchard Oriole,Unknown,,Stable,estimated
Barn-owls,Phodilus badius,Oriental Bay-owl,Unknown,not applicable,Stable,suspected
Cuckoos,Cuculus optatus,Oriental Cuckoo,500000-5000000,inferred,Decreasing,inferred
Darters,Anhinga melanogaster,Oriental Darter,Unknown,,Increasing,inferred
Rollers,Eurystomus orientalis,Oriental Dollarbird,Unknown,not applicable,Decreasing,suspected
Finches,Chloris sinica,Oriental Greenfinch,Unknown,not applicable,Stable,suspected
"Falcons, Caracaras",Falco severus,Oriental Hobby,Unknown,,Decreasing,suspected
"Hawks, Eagles",Pernis ptilorhynchus,Oriental Honey-buzzard,66666-666666,suspected,Decreasing,suspected
Old World Flycatchers and Chats,Copsychus saularis,Oriental Magpie-robin,Unknown,not applicable,Stable,suspected
Monarch-flycatchers,Terpsiphone affinis,Oriental Paradise-flycatcher,Unknown,not applicable,Stable,suspected
Hornbills,Anthracoceros albirostris,Oriental Pied Hornbill,Unknown,not applicable,Stable,suspected
Plovers,Charadrius veredus,Oriental Plover,153000-153000,estimated,Stable,not applicable
"Coursers, Pratincoles",Glareola maldivarum,Oriental Pratincole,1930000-1990000,estimated,Stable,suspected
Reed-warblers,Acrocephalus orientalis,Oriental Reed-warbler,Unknown,,Decreasing,suspected
Typical Owls,Otus sunia,Oriental Scops-owl,Unknown,not applicable,Stable,suspected
Larks,Alauda gulgula,Oriental Skylark,Unknown,not applicable,Decreasing,suspected
Storks,Ciconia boyciana,Oriental Stork,1000-2499,estimated,Decreasing,suspected
"Pigeons, Doves",Streptopelia orientalis,Oriental Turtle-dove,Unknown,not applicable,Decreasing,suspected
Cuban warblers,Teretistris fornsi,Oriente Warbler,Unknown,not applicable,Decreasing,suspected
Tanagers,Saltator orenocensis,Orinocan Saltator,Unknown,not applicable,Unknown,not applicable
"Ducks, Geese, Swans",Neochen jubata,Orinoco Goose,10000-25000,estimated,Decreasing,suspected
Woodpeckers,Picumnus pumilus,Orinoco Piculet,Unknown,not applicable,Decreasing,not applicable
Ovenbirds,Thripophaga cherriei,Orinoco Softtail,250-999,suspected,Decreasing,suspected
Ovenbirds,Synallaxis beverlyae,Orinoco Spinetail,Unknown,not applicable,Stable,suspected
New World blackbirds,Gymnomystax mexicanus,Oriole Blackbird,Unknown,not applicable,Stable,suspected
Finches,Linurgus olivaceus,Oriole Finch,Unknown,not applicable,Stable,suspected
Cisticolas and allies,Hypergerus atriceps,Oriole Warbler,Unknown,not applicable,Decreasing,suspected
Whistlers,Pachycephala orioloides,Oriole Whistler,Unknown,not applicable,Stable,suspected
"Hawks, Eagles",Spizaetus ornatus,Ornate Hawk-eagle,50000-499999,suspected,Decreasing,inferred
Parrots,Trichoglossus ornatus,Ornate Lorikeet,Unknown,not applicable,Decreasing,suspected
Honeyeaters,Melidectes torquatus,Ornate Melidectes,Unknown,not applicable,Increasing,suspected
Pittas,Pitta concinna,Ornate Pitta,20000-40000,inferred,Decreasing,suspected
Tinamous,Nothoprocta ornata,Ornate Tinamou,Unknown,not applicable,Decreasing,suspected
Old World Buntings,Emberiza hortulana,Ortolan Bunting,8000000-17999999,estimated,Decreasing,suspected
Osprey,Pandion haliaetus,Osprey,100000-1200000,estimated,Increasing,estimated
Finches,Psittirostra psittacea,Ou,0,estimated,,not applicable
Sunbirds,Cinnyris oustaleti,Oustalet's Sunbird,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Phylloscartes oustaleti,Oustalet's Tyrannulet,Unknown,not applicable,Decreasing,suspected
Hummingbirds,Campylopterus calcirupicola,Outcrop Sabrewing,2400-15000,estimated,Decreasing,inferred
Parrots,Eunymphicus uvaeensis,Ouvea Parakeet,1700,estimated,Increasing,estimated
"Hawks, Eagles",Accipiter ovampensis,Ovambo Sparrowhawk,6700-67000,suspected,Increasing,suspected
New World warblers,Seiurus aurocapilla,Ovenbird,26000000,estimated,Stable,estimated
White-eyes and Yuhinas,Zosterops crookshanki,Oya Tabu White-eye,Unknown,not applicable,Stable,not applicable
Typical Antbirds,Myrmotherula pacifica,Pacific Antwren,50000-499999,inferred,Decreasing,suspected
"Hawks, Eagles",Aviceda subcristata,Pacific Baza,Unknown,estimated,Decreasing,suspected
"Ducks, Geese, Swans",Anas superciliosa,Pacific Black Duck,120000-783000,estimated,Decreasing,not applicable
New World blackbirds,Cacicus pacificus,Pacific Cacique,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Myiopagis subplacens,Pacific Elaenia,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Rhynchocyclus pacificus,Pacific Flatbill,Unknown,not applicable,Decreasing,suspected
Plovers,Pluvialis fulva,Pacific Golden Plover,Unknown,estimated,Decreasing,suspected
"Gulls, Terns, Skimmers",Larus pacificus,Pacific Gull,Unknown,estimated,Stable,suspected
Ovenbirds,Furnarius cinnamomeus,Pacific Hornero,Unknown,not applicable,Increasing,suspected
"Pigeons, Doves",Ducula pacifica,Pacific Imperial-pigeon,Unknown,not applicable,Decreasing,suspected
Loons/Divers,Gavia pacifica,Pacific Loon,Unknown,estimated,Increasing,estimated
Parrots,Forpus coelestis,Pacific Parrotlet,Unknown,not applicable,Decreasing,suspected
Herons,Egretta sacra,Pacific Reef-egret,Unknown,estimated,Stable,suspected
Australasian robins,Petroica pusilla,Pacific Robin,Unknown,not applicable,Decreasing,estimated
Tityras and allies,Onychorhynchus occidentalis,Pacific Royal Flycatcher,2500-9999,estimated,Decreasing,inferred
Typical Owls,Megascops cooperi,Pacific Screech-owl,50000-499999,estimated,Decreasing,suspected
Swifts,Apus pacificus,Pacific Swift,Unknown,not applicable,Stable,suspected
Ovenbirds,Pseudocolaptes johnsoni,Pacific Tuftedcheek,Unknown,not applicable,Stable,suspected
Wrens,Troglodytes pacificus,Pacific Wren,7500000,inferred,Decreasing,inferred
Tyrant-flycatchers,Empidonax difficilis,Pacific-slope Flycatcher,9500000,estimated,Stable,estimated
Pipits and Wagtails,Anthus rufulus,Paddyfield Pipit,Unknown,not applicable,Stable,suspected
Reed-warblers,Acrocephalus agricola,Paddyfield Warbler,Unknown,,Decreasing,suspected
Reed-warblers,Acrocephalus yamashinae,Pagan Reed-warbler,Unknown,not applicable,,estimated
"Rails, Gallinules, Coots",Neocrex erythrops,Paint-billed Crake,50000-499999,suspected,Unknown,not applicable
Cardinals,Passerina ciris,Painted Bunting,14000000,estimated,Stable,estimated
"Pheasants, Partridges, Turkeys, Grouse",Perdicula erythrorhyncha,Painted Bush-quail,Unknown,not applicable,Stable,suspected
Buttonquails,Turnix varius,Painted Buttonquail,Unknown,not applicable,Decreasing,suspected
Waxbills,Emblema pictum,Painted Finch,Unknown,not applicable,Stable,suspected
"Pheasants, Partridges, Turkeys, Grouse",Francolinus pictus,Painted Francolin,Unknown,not applicable,Decreasing,suspected
Honeyeaters,Grantiella picta,Painted Honeyeater,"8500-43000, 15000",estimated,Stable,inferred
Manakins,Machaeropterus eckelberryi,Painted Manakin,20000-49999,suspected,Stable,suspected
Parrots,Pyrrhura picta,Painted Parakeet,Unknown,not applicable,Decreasing,suspected
Quail-thrushes and Jewel-babblers,Cinclosoma ajax,Painted Quail-thrush,Unknown,not applicable,Decreasing,suspected
Sandgrouse,Pterocles indicus,Painted Sandgrouse,Unknown,not applicable,Stable,suspected
"Pheasants, Partridges, Turkeys, Grouse",Galloperdix lunulata,Painted Spurfowl,Unknown,not applicable,Stable,suspected
Storks,Mycteria leucocephala,Painted Stork,20000-60000,suspected,Increasing,inferred
Parrots,Psittacella picta,Painted Tiger-parrot,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Todirostrum pictum,Painted Tody-flycatcher,Unknown,not applicable,Decreasing,suspected
New World warblers,Myioborus pictus,Painted Whitestart,600000,estimated,Decreasing,suspected
Laughingthrushes and allies,Montecincla fairbanki,Palani Chilappan,Unknown,not applicable,Decreasing,suspected
Bush-warblers,Horornis annae,Palau Bush-warbler,Unknown,not applicable,Stable,suspected
Cuckooshrikes,Edolisoma monacha,Palau Cicadabird,Unknown,not applicable,Stable,estimated
Fantails,Rhipidura lepida,Palau Fantail,Unknown,not applicable,Stable,suspected
Monarch-flycatchers,Myiagra erythrops,Palau Flycatcher,Unknown,not applicable,Stable,suspected
"Pigeons, Doves",Ptilinopus pelewensis,Palau Fruit-dove,Unknown,estimated,Stable,suspected
